,0
0,unclear
1,unclear
2,unclear
3,unclear
4,anti-mitigation
5,unclear
6,unclear
7,pro-mitigation
8,pro-mitigation
9,unclear
10,anti-mitigation
11,pro-mitigation
12,unclear
13,pro-mitigation
14,unclear
15,unclear
16,unclear
17,unclear
18,unclear
19,pro-mitigation
20,pro-mitigation
21,pro-mitigation
22,pro-mitigation
23,pro-mitigation
24,unclear
25,unclear
26,pro-mitigation
27,anti-mitigation
28,pro-mitigation
29,pro-mitigation
30,pro-mitigation
31,anti-mitigation
32,pro-mitigation
33,unclear
34,anti-mitigation
35,pro-mitigation
36,unclear
37,pro-mitigation
38,pro-mitigation
39,anti-mitigation
40,pro-mitigation
41,pro-mitigation
42,anti-mitigation
43,pro-mitigation
44,unclear
45,unclear
46,anti-mitigation
47,unclear
48,pro-mitigation
49,unclear
50,unclear
51,pro-mitigation
52,anti-mitigation
53,pro-mitigation
54,pro-mitigation
55,pro-mitigation
56,pro-mitigation
57,anti-mitigation
58,pro-mitigation
59,anti-mitigation
60,unclear
61,pro-mitigation
62,pro-mitigation
63,pro-mitigation
64,anti-mitigation
65,pro-mitigation
66,pro-mitigation
67,pro-mitigation
68,pro-mitigation
69,pro-mitigation
70,unclear
71,unclear
72,pro-mitigation
73,unclear
74,pro-mitigation
75,pro-mitigation
76,pro-mitigation
77,pro-mitigation
78,anti-mitigation
79,pro-mitigation
80,pro-mitigation
81,pro-mitigation
82,pro-mitigation
83,pro-mitigation
84,unclear
85,anti-mitigation
86,pro-mitigation
87,pro-mitigation
88,pro-mitigation
89,unclear
90,pro-mitigation
91,pro-mitigation
92,unclear
93,pro-mitigation
94,pro-mitigation
95,unclear
96,anti-mitigation
97,unclear
98,unclear
99,anti-mitigation
100,pro-mitigation
101,pro-mitigation
102,pro-mitigation
103,pro-mitigation
104,unclear
105,anti-mitigation
106,unclear
107,pro-mitigation
108,unclear
109,pro-mitigation
110,unclear
111,pro-mitigation
112,anti-mitigation
113,unclear
114,pro-mitigation
115,unclear
116,pro-mitigation
117,anti-mitigation
118,pro-mitigation
119,pro-mitigation
120,anti-mitigation
121,pro-mitigation
122,pro-mitigation
123,anti-mitigation
124,pro-mitigation
125,pro-mitigation
126,anti-mitigation
127,pro-mitigation
128,unclear
129,anti-mitigation
130,anti-mitigation
131,unclear
132,pro-mitigation
133,pro-mitigation
134,unclear
135,anti-mitigation
136,pro-mitigation
137,unclear
138,pro-mitigation
139,pro-mitigation
140,pro-mitigation
141,pro-mitigation
142,pro-mitigation
143,pro-mitigation
144,pro-mitigation
145,pro-mitigation
146,pro-mitigation
147,pro-mitigation
148,anti-mitigation
149,pro-mitigation
150,unclear
151,anti-mitigation
152,unclear
153,pro-mitigation
154,pro-mitigation
155,anti-mitigation
156,unclear
157,pro-mitigation
158,unclear
159,pro-mitigation
160,pro-mitigation
161,anti-mitigation
162,anti-mitigation
163,pro-mitigation
164,unclear
165,pro-mitigation
166,pro-mitigation
167,pro-mitigation
168,pro-mitigation
169,pro-mitigation
170,unclear
171,unclear
172,unclear
173,anti-mitigation
174,pro-mitigation
175,pro-mitigation
176,anti-mitigation
177,pro-mitigation
178,pro-mitigation
179,pro-mitigation
180,pro-mitigation
181,unclear
182,unclear
183,pro-mitigation
184,pro-mitigation
185,pro-mitigation
186,pro-mitigation
187,unclear
188,pro-mitigation
189,pro-mitigation
190,unclear
191,pro-mitigation
192,anti-mitigation
193,pro-mitigation
194,anti-mitigation
195,pro-mitigation
196,pro-mitigation
197,unclear
198,unclear
199,pro-mitigation
200,unclear
201,unclear
202,unclear
203,pro-mitigation
204,pro-mitigation
205,pro-mitigation
206,pro-mitigation
207,unclear
208,pro-mitigation
209,unclear
210,pro-mitigation
211,anti-mitigation
212,unclear
