text,label
Follow the CDC guidelines. Don’t become a statistic.,pro-mitigation
Do you agree with CDC guidelines that children as young as two should be masked?,unclear
"So, both #Pharmaceutical companies #lilly and #Johnsonandjohnson have suspended trials on #Covidvaccine 😱 I’m sure… https://t.co/iGLSGLyqUH",unclear
The CDC's guidelines are clear  you just don't like them.,pro-mitigation
CDC Updates School Guidelines For Students Returning In The Fall  https://t.co/j8OEklA9uJ,unclear
School Officials React to New CDC Guidelines  https://t.co/QEXFHh9Mjk,unclear
"#China, the virus and #Egypt. #CovidVaccine https://t.co/cQdR26BMuM",unclear
My state will get #CovidVaccine On December 2023. https://t.co/B4V1thoBY7,unclear
"The World is looking at #Hyderabad for #CovidVaccine 

#COVID19India https://t.co/vDvTmEIo2m",unclear
Congratulations to for successfull development of the #CovidVaccine. Now World is able to find the… https://t.co/to07M8qAk5,pro-mitigation
"Sadly, President Biden and CDC Director are doing the same thing now, in lifting the indoor mask guidelines. It's very disappointing.",pro-mitigation
Anyone who entertains - at all - the possibility of a #CovidVaccine being safely available in time f… https://t.co/8o9fVKe7mg,unclear
".⁦⁦   So we’re now letting business groups, including the US Chamber of Commerce, set our CDC COVID guidelines?  We’d expect it from the former guy. BUT THIS ADMINISTRATION?  https://t.co/FbwNJMwCls",anti-mitigation
"Lol, no, it’s a direct result of quislings like you downplaying the pandemic, ignoring CDC guidelines and promoting anti-vaccination lies.",pro-mitigation
"Statistics as of the end of June revealed that over 311mn vaccines have been administered to Americans. As more residents get vaccinated, states are lifting their #COVID19 restrictions to match CDC guidelines. Here are all of the updated state guidelines:  https://t.co/6HXelvYAsA",pro-mitigation
"There's no magic solution, but we can a least solve 99% of the problem by following the CDC guidance. The CDC requires quarantine only of ""close contacts,"" defined as someone closer than 3' w/o a mask. Given current mask &amp; distancing guidelines, no kids would have to quarantine.  https://t.co/CUzkO1qZLp",pro-mitigation
"Despite my expectations, I wasn't vaccined yesterday. I was only tested for alcohol, drugs, hepatitis, syphilis and… https://t.co/CAWpaAjT6x",unclear
"Which vaccine will you prefer  ?  

#RussianVaccine
#CovidVaccine 
#COVID19",unclear
STUDIES SHOW MORPHINE MILLIGRAM EQUIVALENT (MME) USED IN CDC 2016 OPIOID GUIDELINES ARE BOTH BOGUS AND UNSCIENTIFIC: THEY MUST BE REPUDIATED AND WITHDRAWN  1.  https://t.co/EmEj17ze19,unclear
Going against CDC guidelines … you must be anti vax too,unclear
https://t.co/RymqkImNQW #covidvaccine #oxfordvaccine#covishield ,unclear
"The Serum Institute of India (SII), which was conducting the India trials for the coronavirus vaccine being develop… https://t.co/5BqZnoBBHq",unclear
“We are going to need everyone to mask up because the aliens can’t see you if you’re wearing at least one mask. Two is recommended per the CDC guidelines but one works as well IF you’re vaccinated. Together we can win this war and build back better.” - Biden,pro-mitigation
The CDC guidelines themselves said that you didn't need a mask if you're indoor and vaccinated.,anti-mitigation
i’m no tv programming expert but a reality show where border force officials go door to door to deliver mandatory c… https://t.co/L69tS96aQ0,unclear
"In a major development, Adar Poonawalla's Serum Institute of India has started the Phase-2/3 trial of a promising C… https://t.co/n7Eh9GeJOO",pro-mitigation
Same here. Since I got vaccinated and the cdc changed guidelines I mostly just mask in places where the employees are still masking.,pro-mitigation
"JUST IN: Vaccinated teachers and students don't need to wear masks inside schools, the CDC said in relaxing its COVID-19 guidelines.  https://t.co/kBtY8TGV8L",unclear
"Lol... CDC came out with more useful guidelines weeks ago. Tam has no credibility,is irrelevant.",unclear
Per CDC guidelines he doesn’t have to quarantine if he’s fully vaccinated?,unclear
"Breaking : #Russia released world's first #CovidVaccine. #RussianVaccine

Indians are still worried.😰 https://t.co/EozzSOK8s7",unclear
"Join us on 14th August @ 12 p.m. to get to know about all the precautions we adhere to.

#HomeScape #Solar… https://t.co/NeGAxw5zfM",unclear
UK signs €1.4bn deal for Valneva coronavirus vaccine. 🇬🇧🇫🇷🦠 #Valneva #CovidVaccine  https://t.co/D25MRjCBkN,pro-mitigation
The world’s best biopharmaceutical researchers are in a race to develop an effective Covid-19 vaccine. But it’s als… https://t.co/vKigmWV2Pk,pro-mitigation
#covidvaccine fail. Trial stopped again due to serious adverse event .the first time in July the person got #MS the… https://t.co/35yz4AUdG3,anti-mitigation
“You are wearing a gun holster dude”. In rebuttal to the topic of CDC guidelines and censorship.  It’s like watching Biden at his best.,unclear
"Our district wouldn’t budge! 🙌🏽I’m a school RN. Parents hollering &amp; fussing &amp; my boss just looked at them like, “Come at me, bro!” 😂💪🏽Her only response was, “I am following CDC and local health dept guidelines.” With a look that could kill. She’s the best!",pro-mitigation
"CDC schools guidelines prioritize in-person learning, even though not all Covid-19 safety measures are in place  https://t.co/QzBOTN6dnm",anti-mitigation
 it is a bitter truth that those who are searching in Google {non Medical}  know much about covid than 90 percent of doctors.. Reason doctors(not all) after graduation  read only who/cdc/fda guidelines and hear lectures of medical rep about  newly launched medicine..,anti-mitigation
"Hello Everyone, 1/11) Dr. Fauci Speaks On CDC’s New Guidelines For Fully Vaccinated Students  https://t.co/RA11rzyzUk #Pfizer #vaccine #booster #coronavirus #CDC",unclear
"And since the CDC and administration relaxed covid guidelines despite the objections of everyone with functioning brain cells (with states directly following their lead, causing this predicament), do we conclude that the admin and CDC don't care about Black and Brown people?",unclear
"Looks like #CovidVaccine will also meet fate of #PolioVaccine.

BTW, what happened to #EconomicBoycott? https://t.co/X5K6AyW1XV",anti-mitigation
Since you are informing the public about mask. You should put out correct information. The CDC makes guidelines they do not make laws. Plus it's not the law weather to wear a mask or not. I have not found any law made to that rule. Please truly care for the people and tru facts,anti-mitigation
It also means to have manufacturing capacity for hundreds of millions of doses #covid19 #vaccine #CovidVaccine https://t.co/NbQEj9Zcq0,unclear
Why has the CDC not updated their tx guidelines for STIs since 2015?,unclear
India's drug regulator has directed Serum Institute of India to suspend recruitment of new volunteers for phase 2 a… https://t.co/g1a3NFbr0T,unclear
Then I hope you're following the CDC guidelines which recommend n95 and btw  change it after each encounter notice what they say about surgical masks they might as well say stop with the theater.  https://t.co/wYYeKWMnuG  https://t.co/EbeCjn5AGE,pro-mitigation
Status and Future of the Pandemic: #fema #iaem #nema #dhs #disasters #covid19 #coronavirus #hhs #cdc #nytimes… https://t.co/8MC5G42sno,unclear
[CLIENT OPINION] COVID-19 vaccine research theft should be a wake-up call for universities: opinion by Geoff Schomb… https://t.co/JV5SF6F5eN,anti-mitigation
"The World’s Best Hope for Enough #Covid19 Vaccine Comes from India 
#CoronavirusVaccine… https://t.co/po5NJBJwOU",pro-mitigation
Its not a pandemic. Cdc guidelines state it has to have a 7% deathrate. Covid is less than the flu. Get over it and stop giving up your freedom to privacy.,anti-mitigation
"This is funny, I don’t care who you are. #FakeNewsIsTheRealPandemic
#LiberalHypocrisy #LiberalLogic… https://t.co/ssBOugkwZz",unclear
"Covid-19 vaccine will be second most appreciated thing from Russia. Vodka will always be first

#CovidVaccine",pro-mitigation
"It SHOULD be the elderly and most vulnerable. 

It WILL be the rich and powerful. 

#CovidVaccine https://t.co/CmJWXDcty4",pro-mitigation
"Lol.  It proves my thesis that the risk to the vaccinated is extremely low.  So low that it is ridiculous to require the vaccinated to wear masks, except in certain places like hospitals, doctors offices, airplanes, and subways.  The CDC guidelines are consistent with this.",unclear
"Without an #FDA approved #COVIDVaccine, our elderly and other vulnerable populations remain at risk. Find out how y… https://t.co/bbCF3QNMtb",pro-mitigation
As a member this is completely out of pocket.  I'm sure this doesn't fall within the nor guidelines either.,unclear
"Only an idiot would go on a cruise without some form of protection from Covid 19. The CDC was wise to provide these guidelines, as its mandate is to do what it can to protect the health of you, me and every other American.",pro-mitigation
CDC can't mandate this. They're just guidelines. States will adopt them though and force schools to adopt them.  Parents just need to say no.,anti-mitigation
"Beijing has not released official data on the uptake in domestic targeted groups, which include medical, transport… https://t.co/CYCcPWJNQ1",unclear
"The CDC doesn’t make rules. They issue guidelines. Airlines make rules based on the guidelines. With a private plane, there is no one to make a rule. 100% vaccinated people do not need masks.",anti-mitigation
"COVID-19 Vaccine: China joins Covax initiative co-led by ⬇️

#China #CovidVaccine #COVID19 #COVAXIN 

https://t.co/IKa6vaPV0K",unclear
Excellent thread on CDC and CDPH school guidelines.  Prioritizing students in school is a great place to start,pro-mitigation
